StartYear,None,七言古詩,七言律詩,七言排律,七言絕句,七言聯句,三言詩,五言古詩,五言律詩,五言排律,五言絕句,五言聯句,偈,六言詩,其他,四言詩,未定,樂府,雜言詩,騒體
1368,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
1394,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1465,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,0,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,0,0,8,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1560,0,0,5,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1563,0,23,35,0,48,0,0,23,17,0,12,0,0,0,0,0,0,7,0,1
1571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1573,0,2,13,0,15,0,0,8,24,6,16,0,0,0,0,0,0,0,0,0
1579,0,0,2,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1581,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,1,24,105,4,30,0,0,11,12,4,5,0,0,0,0,3,1,5,2,0
1584,1,0,7,0,0,0,0,3,6,1,2,0,0,0,0,0,0,1,1,0
1585,0,0,2,1,4,0,0,5,6,2,4,0,0,0,0,0,0,2,0,0
1586,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1590,6,1,6,0,16,0,0,10,11,1,11,0,0,1,0,0,0,0,1,2
1592,0,13,21,0,32,0,0,7,10,1,20,0,0,3,0,2,0,5,1,1
1594,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1595,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1597,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,0,6,9,1,28,0,0,11,23,1,30,0,0,0,0,0,0,0,3,2
1604,0,1,6,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1607,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1609,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1610,1,18,12,0,24,0,0,17,16,0,3,1,0,0,0,1,0,11,0,0
1613,0,1,8,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
1614,0,8,23,0,107,0,0,22,34,0,46,0,0,0,0,0,0,6,0,0
1615,1,2,29,0,42,0,0,5,18,0,26,0,0,2,0,0,0,0,0,0
1616,0,1,6,0,9,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1618,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,1,10,38,0,26,2,0,17,20,0,4,0,0,0,0,0,1,2,0,0
1621,1,8,25,2,25,0,0,8,11,4,11,0,0,0,0,0,0,1,0,0
1622,0,2,10,2,13,0,0,1,6,2,4,0,0,0,0,0,0,1,0,0
1624,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1628,2,7,65,1,117,0,0,34,62,1,75,0,0,5,1,5,0,4,4,0
1630,1,0,32,0,17,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
1634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1637,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1638,1,17,153,0,58,0,0,19,24,3,7,0,0,0,0,0,0,0,1,0
1640,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1643,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1644,16,145,1331,22,1515,7,1,240,670,31,215,6,0,11,12,12,0,105,25,8
1645,0,0,53,0,21,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
1650,0,2,40,0,28,1,0,4,14,0,2,0,0,0,0,0,0,3,0,0
1652,0,0,58,2,31,0,0,4,80,3,6,0,0,0,0,1,0,0,0,0
1655,0,22,105,5,88,1,0,32,38,3,15,0,0,0,0,0,0,14,1,2
1660,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1661,0,0,1,0,2,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0
1662,0,46,324,2,268,0,0,51,100,7,56,0,0,1,0,0,0,28,3,0
1666,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1667,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0
1668,0,2,3,0,2,0,0,1,3,0,0,0,0,0,0,3,0,3,0,0
1670,0,1,4,0,76,0,0,0,27,0,13,0,0,0,0,0,0,0,0,0
1675,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1677,0,0,53,0,69,0,0,0,25,1,12,0,0,0,0,0,0,0,0,0
1680,0,2,9,0,30,0,0,2,7,0,5,0,0,0,0,0,0,0,0,0
1686,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1689,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1691,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,0,5,10,0,10,0,0,7,4,0,2,0,0,0,0,0,0,5,0,0
1693,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695,0,7,142,0,35,3,0,10,14,0,1,0,0,0,0,0,0,0,0,0
1697,0,1,9,0,15,0,0,1,3,0,1,0,0,1,0,1,0,1,0,0
1700,0,0,25,0,15,0,0,0,18,0,16,0,0,0,0,0,0,0,0,0
1702,0,25,53,0,38,0,0,28,39,1,10,0,0,0,0,0,0,0,4,0
1705,0,0,2,0,3,0,0,2,3,0,1,0,0,0,0,0,0,3,1,0
1706,0,0,2,0,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
1707,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
