id,书院名id(CBDB),书院id(CBDB),书院名,建院时间,建院年号,建院朝代,建書院者,繁盛朝代,书院地址,书院地址x坐标,书院地址y坐标,建築,建築時間,經費來源,經費數目,捐贈者,捐贈物資,捐贈時間,是否有藏書,是否有藏書備註,改建/擴建/重修者,改建/擴建/重修時間,重建者,重建時間,祀Y,書院類型,書院類型備註,出版物類型,出版物時間,重大事件,任職/學生,任職/就學時間,別稱,並稱,學派備註,被毀時間,被毀時間備註,設定制度者,設定制度時間,出版物,改制名稱,改制時間,信息來源,前身信息,经济制度,招生制度,藏书,书院制度,销毁的建筑（时间）,书院出处,书院出处页码,备注,信息收集
1,,,城南書院,宋紹興三十一年（1161）,,,,,長沙,,,麗澤堂、書樓、蒙軒、卷雲亭、月謝、聽雨舫、納湖、琮琤谷、採菱舟、南阜；廳堂五間；御書樓、禮殿、講堂及正誼、主敬、進德、存誠、居業、明道六齋；重遷妙高峰舊址，建山長居、監院署、文星樓、南軒祠、闢六齋等共百二十間,宋紹興三十一年（1161）；嘉靖四十二年（1563）；乾隆十年（1745）；道光二年（1822）,,,,,,是,藏書數千捲；道光二年（1822），巡撫左輔增購圖書至10555捲,（推官）翟台；（生員）易象乾等；；,嘉靖四十二年（1563）；清康熙五十三年（1714）；雍正十一年（1733）,,,張栻,,,,,宋紹興三十一年（1161），張浚書“城南書院”額；乾道三年（1167），朱熹自閩來訪，與張栻會講於岳麓、城南二院，相互題詠唱和；道光二年（1822），道光皇帝御賜“麗澤風長”額；光緒二十九年（1903），巡撫趙爾巽改為湖南全省師範學堂，次年改稱中路師範學堂。1912年，始改名湖南第一師範學校；1949年後，毛澤東題“第一師範”校名；,（著名山长）賀長齡、賀熙齡、餘正煥、胡達源、何紹基、郭嵩燾、王先謙；（著名学生）曾國藩、李元度、黃興；楊昌濟、徐特立、毛澤東、蔡和森、何叔衡、郭亮、李維漢、蕭三等先後於此學習、工作或從事革命活動。,,,,,咸豐二年（1852）,毀於兵，山長陳本欽重修。同治、光緒間屢有修建,,,,,,湖南书院史稿,,,雍正十一年（1733），與岳麓書院併列為省城書院后僅在長沙府招生；乾隆十年（1745）移岳麓生童肄業其中；道光二年（1822）改為全省招生，內外學正、附課生額擴至138名，與岳麓相等,,,,,,,陈慧
2,,,养德書院,,,,晉王朱知烊,,,,,,弘治十七年二月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄／孝宗／卷二百八,,,,五經四書性理大全,,,,,,陳鋮
3,,,遜學書院,,,,瀋府沁水王長子勛瀶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄／孝宗／卷二百十三,,,,,,,,,,陳鋮
4,,,尚賢書院,,,,晉府慶成王奇湞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
5,,,勉學書院,,,,瀋府西陽王子勛壮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
6,,,養正書院,,,,唐王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
7,,,勉學書院,,,,西河王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
8,,,崇禮書院,,,,隰川王聰羨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
9,,,養性書院,,,,靈川王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
10,,,遵道書院,,,,懷仁王聰淑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
11,,,進德書院,,,,山陰王成鍪,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
12,,,正心書院,,,,楚王,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
13,,,陽春書院,,,,寧王宸濠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
14,,,樂善書院,,,,永和王知燠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
15,,,飬德書院,,,,永年王府輔國將軍勛漚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
16,,,養正書院,,,,魯府輔國將軍當灞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
17,,,崇正書院,,,,南滑王彥濱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,明實錄,,,,,,,,,,陳鋮
