"hwkID","NamePY","NameHZ","Region","Page"
1,"Qiu Zhangzhu","邱 掌 珠"," 廣 東 順 德 人",403
2,"Qiu Zhu","邱 珠"," 江 蘇 青 浦 人",403
3,"Qu Bingyun","屈 秉 筠"," 江 蘇 常 熟 人",392
4,"Qu Fenghui","屈 鳳 輝"," 浙 江 平 湖 人",393
5,"Qu Huixiang","屈 蕙 纕"," 浙 江 臨 海 人",393
6,"Qu Jingfang","屈 靜 坊"," 江 蘇 常 熟 人",394
7,"Qu Jizhong","瞿 繼 鍾"," 江 蘇 常 熟 人",786
8,"Qu Min","屈 敏"," 江 蘇 常 熟 人",392
9,"Qu Ning","屈 凝"," 江 蘇 常 熟 人",393
10,"Qu shi","屈 氏 （ 席 仲 田 妻 ）"," 江 蘇 常 熟 人",394
11,"Qu Shu","屈 淑"," 華 陰 人",127
12,"Qu Wanxiang","瞿 畹 香"," 江 蘇 常 州 人",786
13,"Qu Zhen","瞿 珍"," 江 蘇 常 熟 人",785
14,"Qu Zhixiang","屈 芷 纕"," 浙 江 溫 嶺 人",393
15,"Quan Danzhen","全 淡 真"," 直 隸 涿 州 人",273
16,"Quan Pu","全 璞"," 金 谿 人",273
17,"Quan Shi","權 氏 （ 王 德 威 妻 ）"," 福 建 長 樂 人",810
18,"Que Ming","闕 名"," 會 稽 人",210
19,"Rao Yaoyun","饒 窈 雲"," 湖 南 長 沙 人",810
20,"Ren Hezheng","任 和 徵"," 江 蘇 荊 溪 人",271
21,"Ren Kezeng","任 付 憎"," 山 西 洪 洞 人",271
22,"Ren Lijin","任 麗 金"," 山 東 高 密 人",272
23,"Ren Mengtan","任 夢 檀"," 浙 江 嘉 興 人",272
24,"Ren shi","任 氏 （ 孔 繁 霞 妻 ）"," 直 隸 文 安 人",272
25,"Ren shi","任 氏 （ 顧 錫 爵 妻 ）"," 江 蘇 揚 州 人",272
26,"Ren Shuyi","任 淑 儀"," 安 徽 懷 寧 人",271
27,"Ren Songzhu","任 崧 珠"," 江 蘇 振 澤 人",271
28,"Ren Wan","任 婉"," 江 蘇 江 甯 人",271
29,"Ren Wanhua","任 浣 花"," 江 蘇 荊 溪 人",271
30,"Ren Wanlan","任 畹 蘭","",272
31,"Ren Xiang","任 湘"," 浙 江 海 鹽 人",271
32,"Ren Yuyi","任 玉 邑"," 江 蘇 荊 溪 人",271
33,"Rong shi","榮 氏 （ 柳 昌 湘 妻 ）"," 湖 南 長 沙 人",698
34,"Rong Yujie","榮 玉 潔"," 江 蘇 常 熟 人",697
35,"Ru Huifang","汝 蕙 芳"," 江 蘇 吳 江 人",290
36,"Ru Lan","汝 蘭"," 江 蘇 吳 江 人",290
37,"Ruan Enluan","阮 恩 灤"," 江 蘇 儀 徵 人",376
38,"Ruan Lizhen","阮 麗 珍"," 懷 寧 人",120
39,"Ruan Zhifu","阮 芷 孚"," 江 蘇 維 揚 人",375
40,"Ruitai Fujin","睿 太 福 晉","  滿 州 人",817
41,"Ruiyun","瑞 芸"," 滿 州 人",817
42,"Ruru Nushi","如 如 女 史","",824
43,"Sa Lianru","薩 蓮 如"," 山 西 雁 門 人",771
44,"Sang Suqing","桑 素 清"," 江 蘇 常 熟 人",484
45,"Sang Zhenbai","桑 貞 白"," 嘉 興 人",148
46,"Sha Wanzai","沙 宛 在"," 桃 葉 人",111
47,"Sha Yiqing","沙 懿 清"," 江 蘇 同 皋 人",374
48,"Shan Bingren","單 秉 仁"," 浙 江 紹 興 人",625
49,"Shan shi","單 氏"," 山 東 高 密 人",625
50,"Shan Zhilou","單 芷 樓"," 山 東 東 萊 人",625
51,"Shang Cai","商 采"," 浙 江 山 陰 人",503
52,"Shang Jinghui","商 景 徽"," 浙 江 會 稽 人",503
53,"Shang Jinglan","商 景 蘭"," 會 稽 人",155
54,"Shang Ke","商 付"," 浙 江 山 陰 人",503
55,"Shangguan Wan'er","上 官 婉 兒","",17
56,"Shangguan Zifeng","上 官 紫 鳳"," 福 建 光 澤 人",215
57,"Shao Guangren","邵 廣 仁"," 江 蘇 常 熟 人",402
58,"Shao Lan","邵 蘭"," 浙 江 錢 塘 人",402
59,"Shao Li","邵 笠"," 江 蘇 泰 州 人",401
60,"Shao Meiyi","邵 梅 宜"," 福 建 閩 縣 人",401
61,"Shao Pilan","邵 匹 蘭"," 浙 江 永 嘉 人",400
62,"Shao Qiulian","邵 秋 蓮","",401
63,"Shao Qizhi","邵 齊 芝"," 江 蘇 昭 文 人",402
64,"Shao shi","邵 氏 （ 張 某 妻 ）"," 直 隸 文 安 人",402
65,"Shao shi","邵 氏 （ 朗 慧 學 妻 ）"," 浙 江 餘 杭 人",402
66,"Shao shi","邵 氏 （ 高 萬 翊 妻 ）"," 浙 江 富 陽 人",402
67,"Shao shi","邵 氏 （ 劉 士 高 妻 ）"," 浙 江 富 陽 人",402
68,"Shao Si","邵 思"," 江 蘇 華 亭 人",401
69,"Shao Sizhen","邵 斯 貞"," 浙 江 餘 杭 人",401
70,"Shao Wuxia","邵 無 瑕"," 浙 江 富 陽 人",401
71,"Shao Xun","邵 循"," 遁 江 人",401
72,"Shao Yuanrun","邵 淵 潤"," 江 蘇 常 熟 人",402
73,"Shao Zhenhua","邵 振 華"," 安 徽 績 溪 人",401
74,"She Wuniang","佘 五 孃"," 廣 東 順 德 人",101
75,"She Zhaoyi","佘 兆 儀"," 安 徽 含 山 人",296
76,"Shen Baoshan","沈 葆 珊"," 浙 江 海 寧 人",369
77,"Shen Bingjing","沈 秉 靜"," 浙 江 歸 安 人",363
78,"Shen Cai","沈 彩"," 浙 江 長 興 人",365
79,"Shen Chiyu","沈 持 玉"," 江 蘇 長 洲 人",363
80,"Shen Ciwan","沈 次 畹"," 福 建 候 官 人",362
81,"Shen Daoxian","沈 道 嫻"," 浙 江 嘉 興 人",369
82,"Shen Daoxiang","沈 道 香"," 浙 江 歸 安 人",369
83,"Shen Ding","沈 掟"," 浙 江 嘉 興 人",368
84,"Shen Ensheng","沈 恩 生"," 浙 江 海 鹽 人",364
85,"Shen Fang","沈 芳"," 江 蘇 吳 縣 人",363
86,"Shen Fen","沈 玢"," 江 蘇 長 洲 人",363
87,"Shen Feng","沈 鳳"," 江 蘇 毘 陵 人",371
