"poetID","NameHZ","NamePY","HaoHZ","HaoPY","ZiHZ","ZiPY","OtherZiHaoHZ","OtherZiHaoPY","MaritalStatus","Notes","Sex","LifeSpan","StartYear","EndYear","EthnicGroup","MainWorks","ispoet","HuWenKai","zhuLu","xuZuoZhe","baZuoZhe"
5,"甘立媃","Gan Lirou","","","如玉","Ruyu","","","正室﹐寡婦","甘禾(1709-1771)女﹐徐曰呂(贈君﹑渭崖﹑拜璜)(1745-1774)妻。姊月娥(1741-1760)﹐兄立德(惟一﹑純齋)﹑立功(惟敘﹑淡泉)﹑立言(惟服﹑謹軒)﹐弟立猷(惟弻﹑西園)﹑惟理 。有子二﹐長必念﹐次心田。按立媃祖汝來(1684-1739)字耕道﹐號遜齋﹐康熙癸巳(1713)進士﹐官吏部尚書謚莊恪﹐有《甘莊恪集十六卷》﹐张廷玉撰墓志﹐清史稿列傳九十一有傳。父禾﹐字周書﹐號愛廬﹐雍正四年(1726)舉人﹐官兵部車駕司主事。有《愛廬詩鈔》。伯兄立德(?-1793)﹐乾隆丙戌(1766)進士﹐官知府。仲兄立功(1731-1759)﹐乾隆壬申(1752)進士﹐改庶吉士﹐授編修。季兄立言﹐乾隆己卯(1759)舉人﹐官知縣。四弟立猷﹐乾隆庚子(1780)進士﹐改庶吉士﹐授編修。立媃有“同懷三進士兩翰林”之語。曰呂父維綸(蕙畮)(1720-1763)以甲戌(1754)進士入翰林。必念﹐郡庠生﹐先卒。心田(ca. 1774-1853)﹐嘉慶六年(1801)進士﹐翰林院庶吉士﹐官安徽南陵知縣。","女","1743-1819",1743,1819,"漢","《咏雪樓稿 : 5卷, 卷首1卷, 附1卷》",1,"267","江西通志","宋鎔﹐王若閎序﹐甘立媃自序﹐劉彬士﹑顧皋作墓志詺﹐茹棻作像贊","徐心田跋"
6,"劉慧娟","Liu Huijuan","幻花女史","Huanhuanüshi","湘舲","Xiangling","","","正室﹐寡婦","廣東香山谿角鄉人。順德舉人梁有成(?-1878)妻。據《清代閨秀集叢刊》，年二十歸梁，夫婦相敬如賓。工詩詞，善作賦，精術數","女","1830-ca. 1880",1830,1880,"漢","《曇花閣詩鈔四卷》",1,"719","廣東女子藝文考","戴鴻慈﹐梁煦南序﹐劉慧娟自序",""
8,"馮思慧","Feng Sihui","","","睿之","Ruizhi","駱思慧","Luo Sihui","正室","侍郎劉秉恬妻。名媛詩話﹕山陰人﹐馮垣女。擷芳集﹕駱思慧﹐本姓馮﹐浙江會稽人﹐父坦﹐母胡慎容。因撫於母姨胡慎儀﹐改姓駱。生卒年按《清代閨秀集叢刊》","女","1748-1774",1748,1774,"漢","《繡餘吟六卷附錄一卷》",1,"654","山西通志﹐正始續集﹐明媛詩話﹐擷芳集","劉秉恬序",""
11,"屠鏡心","Tu Jingxin","掃花主人","Saohuazhuren","","","","","正室","江蘇宜興陽羨人。庠生任星咸(拱辰)妻。子溶﹑治(協襄)﹑珍﹑賢。據《清代閨秀集叢刊》，出生世族大家。","女","清道光前後",1796,1860,"漢","《玩月軒詩草》《爨餘吟二卷》",1,"627","清代閨閣詩人徵略﹐吳氏小殘卷齋數目","張之縉﹐文廉﹐耀曾序","任珮瑛,萬秉,任凱,任治,任謙吉跋"
12,"鄭蘭孫","Zheng Lansun","蘅洲","Hengzhou","娛清","Yuqing","","","正室","經歷仁和徐鴻謨妻﹐子花農侍郎徐琪﹐女紫仙(雲芝)女史。據《清代閨秀集叢刊》，善詩畫，能寫蘭。夫字仁和，子字玉可，號花農，光緒進士，能詩. 生卒年按喻宇明《晚清閨秀詩人鄭蘭孫行年考》《古籍研究》（總第67卷）2018年","女","1814-1861",1814,1861,"漢","《蓮因室詩集二卷詞集一卷》﹐《都梁香閣詩詞集》",1,"744","杭州府志﹐小檀欒室彙刻百家閨秀詞﹐小黛軒論詩詩﹐閨秀詞話","徐鴻謨﹐錢士杓序﹐鄭蘭孫自序﹐俞繡孫﹐孫因培﹐張煒﹐顧琇瑩﹐鍾維則﹐秦緗業﹐楊昌濬﹐孫念培﹐孫煐﹐俞樾﹐許庚身﹐許祐身﹐許之瑩題辭","許樾身跋﹐徐琪附記"
13,"仲蓮慶","Zhong Lianqing","","","碧香","Bixiang","","","正室","洪仁遠妻。弟仲鶴慶﹐姪仲振奎。","女","清雍正乾隆間",1723,1795,"漢","碧香女史遺草一卷",1,"271","崑山胡氏書目﹐泰州仲氏閨秀集合刻﹐國朝閨秀正始續集","仲振奎序",""
14,"仲振宜","Zhong Zhenyi","","","薌雲","Xiangyun","","","正室","仲鶴慶(?-1785)女﹐虎阜崔爾封妻。妹仲振宣﹐兄仲振奎﹐嫂氏趙箋霞。按仲鶴慶，字品崇，號松嵐，海安人。乾隆十七年(1752年)舉人，乾隆十九年登進士，官四川大邑縣知縣，後罷官歸里。","女","ca. 1751-before 1802",1751,1802,"漢","綺泉女史遺草一卷",1,"270","崑山胡氏書目﹐泰州仲氏閨秀集合刻﹐留雲閣合稿","趙箋霞序",""
15,"仲振宣","Zhong Zhenxuan","","","芝雲","Zhiyun","","","正室","仲鶴慶(?-1785)次女﹐張祥鳳妻。姊仲振宜﹐兄仲振奎﹐嫂氏趙箋霞。按仲鶴慶，字品崇，號松嵐，海安人。乾隆十七年(1752年)舉人，乾隆十九年登進士，官四川大邑縣知縣，後罷官歸里。","女","ca. 1753-ca. 1786",1753,1786,"漢","瑤泉女史遺草一卷",1,"270","崑山胡氏書目﹐泰州仲氏閨秀集合刻﹐留雲閣合稿","",""
16,"趙箋霞","Zhao Jianxia","","","書雲","Shuyun","","","正室","泰州仲振奎妻。","女","?-1807",1750,1807,"漢","辟塵軒詩鈔一卷",1,"708","崑山胡氏書目﹐泰州仲氏閨秀詩合刻","仲振奎序",""
17,"洪湘蘭","Hong Xianglan","","","畹香","Wanxiang","","","正室","","女","清乾隆嘉慶間",1750,1820,"漢","綺雲闈遺草",1,"435","泰州仲氏閨秀集合刻﹐閨籍經眼錄","",""
