"",workID,TitleHZ,poetID,NameHZ,role,Sex,relation
385,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),328,徐心田,跋作者,男,次子
384,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),328,徐心田,校閲,男,次子
482,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),1977,茹棻,像贊作者,男,None
481,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),4399,顧皋,墓志詺作者,男,None
680,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),5,甘立媃,序作者,女,自序
480,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),1951,劉彬士,墓志詺作者,男,None
123,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),5,甘立媃,主要作者,女,own
124,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),486,宋鎔,序作者,男,None
153,9,詠雪樓稿﹕五卷，卷首一卷，附一卷(清甘立媃撰),1968,王若閎,序作者,男,None
159,10,繡佛樓詩稿﹕二卷(清錢守璞撰),385,何褘,序作者,女,甥女
160,10,繡佛樓詩稿﹕二卷(清錢守璞撰),147,錢守璞,序作者,女,自序
296,10,繡佛樓詩稿﹕二卷(清錢守璞撰),386,沈鳳,題辭,女,None
364,10,繡佛樓詩稿﹕二卷(清錢守璞撰),210,袁綬,題辭,女,None
158,10,繡佛樓詩稿﹕二卷(清錢守璞撰),147,錢守璞,主要作者,女,own
179,11,曇花閣詩鈔﹕三集(清劉慧娟撰),400,戴鴻慈,序作者,男,None
180,11,曇花閣詩鈔﹕三集(清劉慧娟撰),401,梁煦南,序作者,男,suspicious
181,11,曇花閣詩鈔﹕三集(清劉慧娟撰),6,劉慧娟,序作者,女,自序
178,11,曇花閣詩鈔﹕三集(清劉慧娟撰),6,劉慧娟,主要作者,女,own
280,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),414,潘鍾瑞,題辭,男,None
71,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),413,汪鍾霖,跋作者,男,過繼的嗣子
70,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),412,汪芑,序作者,男,suspicious
69,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),411,汪鶴衢,序作者,男,suspicious
68,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),410,秦雲,序作者,女,None
65,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),238,吳茝,主要作者,女,own
67,12,佩秋閣遺稿﹕二卷﹐詞稿﹕一卷﹐文稿﹕一卷(清吳茝撰),409,馮桂芬,序作者,男,None
