"subworkID","workID","swTitleHZ","swTitlePY"
3,37,"鏡閣新集﹕一卷","Jing ge xin ji: 1 juan"
4,37,"嘯雪庵詩鈔﹕一卷","Xiao xue an shi chao: 1 juan"
5,37,"臥月軒詩稿﹕一卷","Wo yue xuan shi gao: 1 juan"
6,37,"徐都講詩﹕一卷","Xu du jiang shi: 1 juan"
7,37,"青山集﹕一卷","Qing shan ji: 1 juan"
8,37,"素賞樓詩稿﹕一卷","Su shang lou shi gao: 1 juan"
9,37,"凝翠樓詩集﹕一卷","Ning cui lou shi ji: 1 juan"
10,37,"凝香室詩鈔﹕一卷","Ning xiang shi shi chao: 1 juan"
11,37,"硯隱集﹕一卷","Yan yin ji: 1 juan"
12,37,"玉窗遺稿﹕一卷","Yu chuang yi gao: 1 juan"
13,37,"蘊真軒小草﹕一卷","Yun zhen xuan xiao cao: 1 juan"
14,37,"林下風清集﹕一卷","Lin xia feng qing ji: 1 juan"
15,37,"湘靈集﹕一卷","Xiang ling ji: 1 juan"
16,37,"古香樓詩集﹕一卷","Gu xiang lou shi ji: 1 juan"
17,37,"竹隱樓詩草﹕一卷","Zhu yin lou shi cao: 1 juan"
18,37,"鳳簫樓詩集﹕一卷","Feng xiao lou shi ji: 1 juan"
19,37,"繡餘小稿﹕一卷","Xiu yu xiao gao: 1 juan"
20,37,"蠹窗詩集﹕一卷","Du chuang shi ji: 1 juan"
21,37,"疏影軒詩稿﹕一卷","Shu ying xuan shi gao: 1 juan"
22,37,"片石齋燼餘草﹕一卷","Pian shi zhai jin yu cao: 1 juan"
65,37,"望雲閣詩集﹕一卷","Wang yun ge shi ji: 1 juan"
26,37,"培遠堂詩集﹕一卷","Pei yuan tang shi ji: 1 juan"
27,37,"悟雪堂詩鈔﹕一卷","Wu xue tang shi chao: 1 juan"
28,37,"綠淨軒詩鈔﹕一卷","Lü jing xuan shi chao: 1 juan"
29,37,"柴車倦遊集﹕一卷","Chai che juan you ji: 1 juan"
30,37,"玉芳亭詩集﹕一卷","Yu fang ting shi ji: 1 juan"
31,37,"靜香閣詩草﹕一卷","Jing xiang ge shi cao: 1 juan"
32,37,"清香閣詩鈔﹕一卷","Qing xiang ge shi chao: 1 juan"
33,37,"一桂軒詩鈔﹕一卷","Yi gui xuan shi chao: 1 juan"
34,37,"鴻寶樓詩鈔﹕一卷","Hong bin lou shi chao: 1 juan"
35,37,"瑞圃詩鈔﹕一卷","Rui pu shi chao: 1 juan"
36,37,"問花樓詩集﹕一卷","Wen hua lou shi ji: 1 juan"
37,37,"在璞堂吟稿﹕一卷","Zai pu tang yin gao: 1 juan"
38,37,"浣青詩﹕一卷","Wan qing shi: 1 juan"
39,37,"臥雪軒吟草﹕一卷","Wo xue xuan yin cao: 1 juan"
40,37,"繡餘草﹕一卷","Xiu yu cao: 1 juan"
41,37,"職思居詩鈔﹕一卷","Zhi si ju shi chao: 1 juan"
42,37,"聊一軒詩稿﹕一卷","Liao yi xuan shi gao: 1 juan"
43,37,"綠秋書屋詩集﹕一卷","Lü qiu shu wu shi ji: 1 juan"
44,37,"聽月樓遺草﹕一卷","Ting yue lou yi cao: 1 juan"
45,37,"紅雪軒詩稿﹕一卷","Hong xue xuan shi gao: 1 juan"
46,37,"蘩香詩草﹕一卷","Fan xiang shi cao: 1 juan"
47,37,"長離閣詩集﹕一卷","Chang li ge shi ji: 1 juan"
48,37,"石蘭詩鈔﹕一卷","Shi lan shi chao: 1 juan"
49,37,"盈書閣遺稿﹕一卷","Ying shi ge yi gao: 1 juan"
50,37,"采香樓詩草﹕一卷","Cai xiang lou shi cao: 1 juan"
51,37,"吟香摘蠹集﹕一卷","Yin xiang zhai du ji: 1 juan"
52,37,"鶴語軒詩集﹕一卷","He yu xuan shi ji: 1 juan"
53,37,"兩面樓詩稿﹕一卷","Liang mian lou shi gao: 1 juan"
54,37,"蘭圃遺草﹕一卷","Lan pu yi cao: 1 juan"
