"swcID","subworkID","poetID","role","date"
9,3,240,"主要作者",""
10,4,42,"主要作者",""
11,5,43,"主要作者",""
12,6,44,"主要作者",""
13,7,524,"主要作者",""
14,8,46,"主要作者",""
15,9,47,"主要作者",""
16,10,48,"主要作者",""
17,11,586,"主要作者",""
18,12,170,"主要作者",""
19,13,573,"主要作者",""
20,14,52,"主要作者",""
21,15,537,"主要作者",""
22,16,241,"主要作者",""
23,17,55,"主要作者",""
24,18,528,"主要作者",""
25,19,797,"主要作者",""
26,20,691,"主要作者",""
27,21,59,"主要作者",""
28,22,60,"主要作者",""
29,26,61,"主要作者",""
30,27,62,"主要作者",""
31,28,63,"主要作者",""
32,29,750,"主要作者",""
33,30,65,"主要作者",""
34,31,66,"主要作者",""
35,32,67,"主要作者",""
36,33,68,"主要作者",""
37,34,1136,"主要作者",""
38,35,70,"主要作者",""
39,36,71,"主要作者",""
40,37,72,"主要作者",""
41,38,235,"主要作者",""
42,39,74,"主要作者",""
43,40,75,"主要作者",""
44,41,76,"主要作者",""
45,42,77,"主要作者",""
46,43,78,"主要作者",""
47,44,79,"主要作者",""
48,45,80,"主要作者",""
49,46,81,"主要作者",""
50,47,82,"主要作者",""
51,48,1095,"主要作者",""
52,49,37,"主要作者",""
53,50,85,"主要作者",""
54,51,86,"主要作者",""
55,52,87,"主要作者",""
56,53,88,"主要作者",""
57,54,89,"主要作者",""
58,55,90,"主要作者",""
59,56,91,"主要作者",""
60,57,92,"主要作者",""
61,58,93,"主要作者",""
62,59,94,"主要作者",""
63,60,22,"主要作者",""
64,61,95,"主要作者",""
65,62,96,"主要作者",""
66,63,97,"主要作者",""
164,130,156,"主要作者",""
69,66,99,"主要作者",""
70,67,100,"主要作者",""
71,68,101,"主要作者",""
72,69,202,"主要作者",""
73,70,243,"主要作者",""
74,71,104,"主要作者",""
75,72,105,"主要作者",""
76,73,106,"主要作者",""
77,74,165,"主要作者",""
78,75,108,"主要作者",""
79,76,109,"主要作者",""
80,77,110,"主要作者",""
81,78,111,"主要作者",""
82,79,112,"主要作者",""
83,80,113,"主要作者",""
84,81,24,"主要作者",""
85,82,167,"主要作者",""
86,83,116,"主要作者",""
87,84,652,"主要作者",""
88,85,118,"主要作者",""
89,86,119,"主要作者",""
90,87,85,"主要作者",""
91,88,191,"主要作者",""
92,89,122,"主要作者",""
93,90,123,"主要作者",""
94,91,124,"主要作者",""
95,92,125,"主要作者",""
96,93,126,"主要作者",""
97,94,127,"主要作者",""
98,95,128,"主要作者",""
99,96,129,"主要作者",""
100,97,130,"主要作者",""
101,98,131,"主要作者",""
102,99,132,"主要作者",""
103,100,133,"主要作者",""
104,101,134,"主要作者",""
105,102,135,"主要作者",""
106,103,136,"主要作者",""
107,104,137,"主要作者",""
108,105,138,"主要作者",""
109,106,139,"主要作者",""
110,107,13,"主要作者",""
111,108,14,"主要作者",""
112,109,15,"主要作者",""
113,110,16,"主要作者",""
114,111,17,"主要作者",""
115,112,1380,"主要作者",""
116,113,88,"主要作者",""
117,114,19,"主要作者",""
118,115,20,"主要作者",""
119,116,85,"主要作者",""
120,117,22,"主要作者",""
121,118,90,"主要作者",""
122,119,24,"主要作者",""
123,120,112,"主要作者",""
124,121,26,"主要作者",""
125,122,27,"主要作者",""
126,123,24,"主要作者",""
127,124,28,"主要作者",""
128,125,175,"主要作者",""
129,126,32,"主要作者",""
130,127,176,"主要作者",""
131,112,28,"序作者","1788"
132,112,1399,"跋作者","1788"
133,113,28,"序作者","1791"
134,114,90,"題辭",""
135,114,88,"題辭","1789"
136,116,90,"序作者","1789"
137,117,28,"序作者","1789"
138,118,90,"序作者","1788"
139,120,28,"序作者","1789"
140,120,26,"序作者","1789"
141,121,112,"序作者","1789"
142,122,481,"序作者","1794"
143,122,28,"序作者","1794"
144,122,88,"序作者","1794"
145,122,1444,"序作者","1794"
146,122,104,"序作者","1794"
147,123,24,"序作者","1789"
148,124,24,"序作者","1789"
149,124,90,"跋作者","1789"
150,128,2077,"主要作者",""
152,129,2078,"主要作者",""
270,134,459,"序作者","1807"
154,122,2135,"題辭",""
155,122,2136,"題辭",""
156,122,2137,"題辭",""
157,122,2138,"題辭",""
158,122,2139,"題辭",""
159,122,2140,"題辭",""
160,122,104,"題辭",""
161,122,1444,"題辭",""
162,122,1380,"題辭",""
163,122,2086,"題辭",""
165,131,157,"主要作者",""
166,132,158,"主要作者",""
167,134,109,"主要作者",""
168,135,161,"主要作者",""
169,136,162,"主要作者",""
170,137,163,"主要作者",""
171,138,165,"主要作者",""
172,139,167,"主要作者",""
173,140,166,"主要作者",""
174,141,168,"主要作者",""
175,142,169,"主要作者",""
176,143,170,"主要作者",""
177,144,171,"主要作者",""
178,145,172,"主要作者",""
179,146,173,"主要作者",""
180,147,174,"主要作者",""
181,148,175,"主要作者",""
182,149,176,"主要作者",""
183,150,177,"主要作者",""
184,151,178,"主要作者",""
185,152,691,"主要作者",""
186,153,792,"主要作者",""
187,154,24,"主要作者",""
188,155,90,"主要作者",""
189,156,183,"主要作者",""
190,157,184,"主要作者",""
191,158,185,"主要作者",""
192,159,186,"主要作者",""
193,160,187,"主要作者",""
194,161,188,"主要作者",""
195,162,189,"主要作者",""
196,163,190,"主要作者",""
197,164,1917,"主要作者",""
198,165,191,"主要作者",""
199,130,458,"序作者",""
200,166,194,"主要作者",""
201,167,194,"主要作者",""
202,168,195,"主要作者",""
203,169,196,"主要作者",""
204,170,197,"主要作者",""
205,171,198,"主要作者",""
206,172,199,"主要作者",""
207,173,199,"主要作者",""
208,174,200,"主要作者",""
209,175,201,"主要作者",""
211,177,203,"主要作者",""
212,178,204,"主要作者",""
213,179,205,"主要作者",""
214,180,206,"主要作者",""
215,181,207,"主要作者",""
216,182,208,"主要作者",""
217,183,209,"主要作者",""
218,184,210,"主要作者",""
219,185,211,"主要作者",""
220,186,212,"主要作者",""
221,187,213,"主要作者",""
222,188,214,"主要作者",""
223,189,215,"主要作者",""
224,190,216,"主要作者",""
225,191,217,"主要作者",""
226,192,218,"主要作者",""
227,194,220,"主要作者",""
228,193,42,"主要作者",""
229,195,221,"主要作者",""
230,196,222,"主要作者",""
231,197,224,"主要作者",""
232,198,225,"主要作者",""
233,199,12,"主要作者",""
234,200,227,"主要作者",""
235,201,228,"主要作者",""
236,202,229,"主要作者",""
237,203,230,"主要作者",""
238,204,231,"主要作者",""
239,205,232,"主要作者",""
240,206,233,"主要作者",""
241,207,234,"主要作者",""
242,208,235,"主要作者",""
243,209,236,"主要作者",""
244,210,237,"主要作者",""
245,211,238,"主要作者",""
246,212,239,"主要作者",""
247,213,240,"主要作者",""
248,214,241,"主要作者",""
249,215,242,"主要作者",""
250,216,243,"主要作者",""
251,217,244,"主要作者",""
252,218,245,"主要作者",""
253,219,246,"主要作者",""
254,220,247,"主要作者",""
255,221,248,"主要作者",""
256,222,249,"主要作者",""
257,223,250,"主要作者",""
258,224,251,"主要作者",""
259,225,252,"主要作者",""
260,226,253,"主要作者",""
261,227,254,"主要作者",""
262,228,255,"主要作者",""
263,229,256,"主要作者",""
264,230,257,"主要作者",""
265,231,258,"主要作者",""
266,232,259,"主要作者",""
267,112,2087,"題辭","1788"
268,112,90,"題辭","1789"
269,65,98,"主要作者",""
271,136,460,"序作者","1816"
272,141,461,"序作者","1650"
273,148,462,"跋作者","1898"
274,178,465,"编輯",""
275,107,469,"序作者",""
276,108,16,"序作者",""
277,110,469,"序作者","1807"
278,234,127,"主要作者",""
279,233,82,"主要作者",""
280,235,199,"主要作者",""
281,236,199,"主要作者",""
282,237,188,"主要作者",""
283,234,4700,"序作者","1829"
284,234,4701,"題辭",""
285,234,4702,"传記作者",""
317,234,4703,"传記作者","1838"
287,234,4704,"序作者","1814"
288,234,4705,"序作者","1826"
289,234,459,"序作者","1812"
290,234,4706,"序作者","1816"
291,234,916,"序作者","1824"
292,234,4707,"序作者","1826"
293,234,1664,"題辭",""
294,234,1195,"題辭",""
295,234,867,"題辭",""
296,234,132,"題辭",""
297,234,4708,"題辭",""
298,234,4709,"題辭",""
299,238,1480,"作者",""
300,239,4713,"作者",""
302,241,4714,"作者",""
303,242,4715,"作者",""
304,233,4579,"跋作者","1818"
305,233,4580,"传記作者",""
306,233,4581,"附記作者",""
307,233,263,"墓志詺作者",""
308,233,4722,"墓志詺作者",""
309,235,4677,"序作者",""
310,235,4703,"序作者","1829	"
311,235,418,"序作者","1829	"
316,243,94,"主要作者",""
315,244,99,"主要作者",""
314,245,221,"主要作者",""
318,243,4800,"序作者",""
319,243,4786,"序作者",""
320,243,4785,"跋作者",""
321,244,4803,"序作者",""
322,244,4804,"序作者",""
323,244,4805,"序作者",""
324,244,4806,"序作者",""
325,244,4800,"序作者",""
326,244,4807,"序作者",""
327,244,4722,"題辭",""
328,244,4819,"題辭",""
329,244,4820,"題辭",""
330,244,4821,"題辭",""
331,244,4822,"題辭",""
332,244,4823,"題辭",""
333,244,2139,"題辭",""
334,244,4811,"題辭",""
335,244,263,"跋作者",""
336,244,493,"跋作者",""
337,244,4824,"跋作者",""
338,244,4825,"跋作者",""
339,244,4804,"跋作者",""
340,244,4634,"跋作者",""
341,244,4826,"跋作者",""
342,244,4827,"跋作者",""
343,244,4651,"跋作者",""
344,244,2139,"跋作者",""
345,244,4811,"跋作者",""
346,244,4191,"跋作者",""
347,244,4800,"跋作者",""
348,244,94,"跋作者",""
349,244,221,"跋作者",""
350,244,4786,"跋作者",""
351,244,4828,"跋作者",""
352,245,4817,"序作者",""
353,245,493,"跋作者",""
361,238,3563,"序作者","1835"
355,238,4829,"序作者","1875"
356,238,4830,"序作者","1878"
357,126,272,"題辭",""
358,126,175,"題辭",""
359,127,273,"附記作者",""
360,240,4859,"作者",""
362,233,4574,"序作者",""
363,233,4575,"序作者",""
364,233,4576,"序作者",""
365,233,4577,"序作者",""
366,233,4578,"序作者",""
367,237,4738,"序作者",""
368,237,3512,"序作者",""
369,237,4737,"題辭",""
370,237,4792,"題辭",""
371,237,4798,"題辭",""
372,237,4799,"題辭",""
373,122,263,"传記作者",""
374,176,202,"主要作者",""
375,3,289,"传記作者",""
376,246,191,"主要作者",""
377,247,1917,"主要作者",""
378,248,1918,"主要作者",""
379,249,4636,"编輯",""
380,250,1919,"主要作者",""
381,251,1919,"主要作者",""
