"wpID","workID","poemID"
7052,30,7009
1196,38,1176
772,38,778
1195,38,1175
6,38,6
7,38,7
8,38,8
9,38,9
10,38,10
11,38,11
12,38,12
13,38,13
14,38,14
15,38,15
16,38,16
17,38,17
18,38,18
19,38,19
20,38,20
21,38,21
22,38,22
23,38,23
24,38,24
25,38,25
26,38,26
27,38,27
28,38,28
29,38,29
30,38,30
31,38,31
32,38,32
33,38,33
34,38,34
35,38,35
36,38,36
37,38,37
38,38,38
39,38,39
40,38,40
41,38,41
42,38,42
43,38,43
44,38,44
45,38,45
46,38,46
47,38,47
48,38,48
49,38,49
50,38,50
51,38,51
52,38,52
53,38,53
54,38,54
55,38,55
56,38,56
57,38,57
60,38,63
61,38,64
62,38,65
63,38,66
64,38,67
65,38,68
66,38,69
67,38,70
68,38,71
69,38,72
70,38,73
71,38,74
72,38,75
75,38,77
74,38,76
76,38,78
77,38,79
78,38,81
79,38,82
80,38,83
81,38,86
82,38,87
1152,38,798
84,38,90
85,38,91
86,38,92
87,38,88
88,38,93
89,38,94
90,38,95
91,38,96
92,38,97
93,38,98
94,38,101
95,38,99
96,38,100
97,38,103
98,38,104
99,38,102
100,38,106
1157,38,1138
6557,17,6541
103,38,108
104,38,109
105,38,110
106,38,111
107,38,112
108,38,113
109,38,114
110,38,115
111,38,116
112,38,117
1156,38,105
114,38,119
115,38,120
116,38,121
117,38,122
118,38,123
119,38,124
120,38,125
121,38,126
1151,38,89
123,38,128
124,38,129
125,38,130
126,38,131
127,38,132
128,38,133
129,38,134
130,38,135
131,38,136
132,38,137
133,38,138
134,38,139
135,38,140
136,38,141
137,38,142
138,38,143
139,38,144
140,38,145
141,38,146
142,38,147
143,38,148
144,38,149
145,38,150
146,38,151
147,38,152
148,38,153
149,38,154
150,38,155
151,38,156
152,38,157
153,38,158
154,38,159
155,38,160
156,38,161
157,38,162
158,38,163
159,38,164
160,38,165
161,38,166
162,38,167
163,38,168
164,38,169
165,38,170
166,38,171
167,38,172
168,38,173
169,38,174
170,38,175
171,38,176
172,38,177
173,38,178
174,38,179
175,38,180
176,38,181
177,38,182
178,38,183
179,38,184
180,38,185
181,38,186
182,38,187
183,38,188
184,38,189
185,38,190
186,38,191
187,38,192
188,38,193
189,38,194
190,38,195
191,38,196
192,38,197
193,38,198
194,38,200
195,38,199
196,38,201
197,38,202
198,38,203
199,38,204
200,38,205
201,38,206
202,38,207
203,38,208
204,38,209
205,38,210
206,38,211
207,38,213
208,38,212
209,38,214
210,38,215
211,38,216
212,38,217
213,38,218
214,38,219
215,38,220
216,38,221
217,38,222
218,38,223
219,38,224
220,38,225
221,38,226
222,38,227
223,38,228
224,38,229
225,38,230
226,38,231
227,38,232
228,38,233
229,38,234
230,38,235
231,38,236
232,38,237
233,38,238
234,38,239
235,38,240
236,38,241
237,38,242
238,38,243
239,38,244
240,38,245
241,38,246
242,38,247
243,38,248
244,38,249
245,38,250
246,38,251
247,38,252
248,38,253
249,38,254
250,38,255
251,38,256
252,38,257
253,38,258
254,38,259
255,38,260
256,38,261
257,38,262
258,38,263
259,38,264
260,38,265
261,38,266
262,38,267
263,38,268
264,38,270
265,38,271
266,38,272
267,38,273
268,38,274
269,38,275
270,38,276
271,38,277
272,38,278
273,38,279
274,38,280
275,38,281
276,38,282
277,38,283
278,38,284
279,38,285
280,38,286
281,38,287
282,38,288
283,38,289
284,38,290
285,38,291
286,38,292
1155,38,118
288,38,294
289,38,295
290,38,296
291,38,297
292,38,298
293,38,299
294,38,300
295,38,301
296,38,302
297,38,303
298,38,304
1154,38,293
300,38,306
301,38,307
302,38,308
303,38,309
304,38,310
305,38,311
306,38,312
307,38,313
308,38,314
309,38,315
310,38,316
311,38,317
312,38,318
313,38,319
314,38,320
315,38,321
316,38,322
317,38,323
318,38,324
319,38,325
320,38,326
321,38,328
322,38,327
323,38,329
324,38,330
325,38,331
326,38,332
327,38,333
328,38,334
329,38,335
330,38,336
331,38,337
332,38,338
333,38,339
334,38,340
335,38,341
336,38,342
337,38,343
338,38,344
339,38,345
340,38,346
341,38,347
342,38,348
343,38,349
344,38,350
345,38,351
346,38,352
347,38,353
348,38,354
349,38,355
350,38,356
351,38,357
352,38,358
353,38,359
354,38,360
355,38,361
356,38,362
357,38,363
358,38,364
359,38,365
360,38,366
361,38,367
362,38,368
363,38,369
364,38,370
365,38,371
366,38,372
367,38,373
368,38,374
369,38,375
370,38,376
371,38,377
372,38,378
373,38,379
374,38,380
375,38,381
376,38,382
377,38,383
378,38,384
379,38,385
380,38,386
381,38,387
382,38,388
383,38,390
384,38,392
387,38,393
386,38,391
388,38,394
389,38,395
390,38,396
391,38,397
392,38,398
393,38,399
394,38,400
395,38,401
396,38,402
397,38,403
398,38,404
399,38,405
400,38,406
401,38,408
402,38,409
403,38,410
404,38,411
405,38,412
406,38,413
407,38,414
408,38,415
409,38,416
410,38,417
411,38,418
412,38,419
413,38,420
414,38,421
415,38,422
416,38,423
417,38,424
418,38,425
419,38,426
420,38,427
421,38,428
422,38,429
423,38,430
424,38,431
425,38,432
426,38,433
427,38,434
428,38,435
429,38,436
430,38,437
431,38,438
432,38,439
433,38,441
434,38,442
435,38,443
436,38,444
437,38,445
438,38,446
439,38,447
440,38,448
441,38,449
442,38,450
443,38,451
444,38,452
445,38,440
446,38,453
447,38,454
448,38,455
449,38,456
450,38,457
451,38,458
452,38,459
453,38,460
454,38,461
455,38,462
456,38,463
457,38,464
458,38,465
459,38,466
460,38,467
461,38,468
462,38,469
463,38,470
464,38,471
465,38,472
466,38,473
467,38,474
468,38,475
469,38,476
470,38,477
471,38,478
472,38,479
473,38,480
474,38,481
475,38,482
476,38,483
477,38,484
478,38,485
479,38,486
480,38,487
481,38,488
482,38,489
483,38,490
484,38,491
485,38,492
486,38,493
487,38,494
488,38,495
489,38,496
490,38,497
491,38,498
492,38,499
493,38,500
494,38,501
495,38,502
496,38,503
497,38,504
498,38,505
499,38,506
500,38,507
501,38,508
502,38,509
503,38,510
504,38,511
505,38,512
506,38,513
507,38,514
508,38,515
509,38,516
510,38,517
511,38,518
512,38,519
1150,38,127
514,38,521
515,38,522
516,38,523
517,38,524
518,38,525
519,38,526
520,38,527
521,38,528
522,38,529
523,38,530
524,38,531
525,38,532
526,38,533
527,38,534
528,38,535
529,38,536
530,38,537
531,38,538
532,38,539
533,38,540
534,38,541
535,38,542
536,38,543
537,38,544
538,38,545
539,38,546
540,38,547
541,38,548
542,38,549
543,38,550
544,38,551
545,38,552
546,38,553
547,38,554
548,38,555
549,38,556
550,38,557
551,38,558
552,38,561
553,38,562
554,38,563
555,38,564
556,38,565
557,38,566
558,38,567
559,38,568
560,38,569
561,38,570
562,38,571
563,38,572
564,38,573
565,38,575
566,38,576
567,38,577
568,38,578
569,38,579
570,38,580
571,38,581
572,38,582
573,38,583
574,38,584
575,38,585
576,38,586
577,38,587
578,38,588
579,38,589
580,38,590
581,38,591
582,38,592
583,38,593
584,38,594
585,38,595
586,38,596
587,38,597
588,38,598
589,38,599
590,38,600
591,38,601
592,38,602
593,38,603
594,38,604
595,38,605
596,38,606
597,38,607
598,38,608
599,38,609
600,38,610
601,38,611
602,38,612
603,38,613
604,38,614
605,38,615
606,38,616
607,38,617
608,38,618
609,38,619
610,38,620
611,38,621
612,38,622
613,38,623
614,38,624
615,38,625
616,38,626
617,38,627
618,38,628
619,38,629
620,38,630
621,38,631
622,38,632
623,38,633
624,38,634
625,38,635
626,38,636
627,38,637
628,38,638
629,38,639
630,38,640
631,38,641
632,38,642
633,38,643
634,38,644
635,38,645
636,38,646
637,38,647
638,38,648
639,38,649
640,38,650
641,38,651
642,38,652
643,38,653
644,38,654
645,38,655
646,38,656
647,38,657
648,38,658
649,38,659
650,38,660
651,38,661
652,38,662
653,38,663
654,38,664
655,38,665
656,38,666
657,38,667
658,38,668
659,38,669
660,38,670
661,38,671
662,38,672
663,38,673
664,38,674
665,38,675
666,38,676
667,38,677
668,38,678
669,38,679
670,38,680
671,38,681
672,38,682
673,38,683
674,38,684
675,38,685
676,38,686
677,38,687
678,38,688
679,38,689
680,38,690
681,38,691
682,38,692
683,38,693
684,38,694
685,38,695
686,38,696
687,38,697
688,38,698
689,38,699
690,38,700
691,38,701
692,38,702
693,38,703
694,38,704
695,38,705
696,38,706
697,38,707
698,38,708
699,38,709
700,38,710
701,38,711
702,38,712
703,38,713
704,38,714
705,38,715
706,38,716
707,38,717
708,38,718
709,38,719
710,38,720
711,38,721
712,38,722
1149,38,520
714,38,724
715,38,725
716,38,726
717,38,727
718,38,728
719,38,729
720,38,730
721,38,731
722,38,732
723,38,733
724,38,734
725,38,735
726,38,736
727,38,737
6805,39,1780
729,38,740
730,38,741
731,38,742
732,38,743
733,38,744
734,38,745
735,38,746
736,38,747
737,38,748
738,38,749
739,38,750
740,38,751
741,38,752
742,38,753
743,38,754
744,38,755
745,38,756
746,38,757
22652,45,22990
748,38,759
749,38,760
750,38,761
751,38,763
15322,19,15383
7053,18,7010
1194,38,1174
768,38,775
757,38,764
758,38,765
759,38,766
760,38,767
761,38,768
762,38,769
763,38,770
764,38,771
765,38,772
766,38,773
767,38,774
769,38,776
770,38,777
774,38,779
775,38,780
787,38,785
788,38,786
781,38,781
783,38,782
784,38,783
785,38,784
789,38,787
790,38,788
791,38,789
792,38,790
793,38,791
794,38,792
795,38,793
798,38,794
799,38,795
800,38,796
801,38,797
1153,38,305
803,38,799
804,38,800
805,38,801
806,38,802
807,38,803
808,38,804
809,38,805
810,38,806
811,38,807
812,38,808
813,38,809
814,38,810
815,38,811
816,38,812
817,38,813
818,38,814
819,38,815
820,38,816
821,38,817
822,38,818
823,38,819
824,38,820
825,38,821
826,38,822
827,38,823
828,38,824
829,38,825
830,38,826
831,38,827
832,38,828
833,38,829
834,38,830
835,38,831
836,38,832
837,38,833
838,38,834
839,38,835
840,38,836
841,38,837
842,38,838
843,38,839
844,38,840
845,38,841
846,38,842
847,38,843
848,38,844
849,38,845
850,38,846
851,38,847
852,38,848
853,38,849
854,38,850
855,38,851
856,38,852
857,38,853
858,38,854
859,38,855
860,38,856
861,38,857
862,38,858
863,38,859
864,38,860
865,38,861
866,38,862
867,38,863
868,38,864
869,38,865
870,38,866
871,38,867
872,38,868
873,38,869
874,38,870
875,38,871
876,38,872
877,38,873
878,38,874
879,38,875
880,38,877
881,38,876
882,38,878
883,38,879
884,38,880
885,38,881
886,38,882
887,38,883
888,38,884
889,38,885
890,38,886
891,38,887
892,38,888
893,38,889
894,38,890
895,38,891
896,38,892
897,38,893
898,38,894
899,38,895
900,38,896
901,38,897
902,38,898
903,38,899
904,38,900
905,38,901
906,38,902
907,38,903
908,38,904
909,38,905
910,38,906
911,38,907
912,38,908
913,38,909
914,38,910
915,38,911
916,38,912
917,38,913
918,38,914
919,38,915
920,38,916
921,38,917
922,38,918
923,38,919
924,38,920
925,38,921
926,38,922
927,38,923
928,38,924
929,38,925
930,38,926
931,38,927
932,38,928
933,38,929
934,38,930
935,38,931
936,38,932
937,38,933
938,38,934
939,38,935
940,38,936
941,38,937
942,38,938
943,38,939
944,38,940
945,38,941
946,38,942
947,38,943
948,38,944
949,38,945
950,38,946
951,38,948
952,38,949
953,38,950
954,38,951
955,38,952
956,38,953
957,38,954
958,38,955
959,38,956
960,38,957
961,38,958
962,38,959
963,38,960
964,38,961
965,38,962
966,38,963
967,38,964
968,38,965
969,38,966
970,38,967
971,38,968
972,38,969
973,38,970
974,38,971
975,38,972
976,38,973
977,38,974
978,38,975
979,38,976
980,38,977
981,38,978
982,38,979
983,38,980
986,38,982
985,38,981
987,38,983
988,38,984
989,38,985
990,38,986
991,38,987
992,38,988
993,38,989
994,38,990
995,38,991
996,38,992
997,38,993
998,38,994
999,38,995
1000,38,996
1001,38,997
1002,38,998
1003,38,999
1004,38,1000
1005,38,1001
1006,38,1002
1007,38,1003
1008,38,1004
1009,38,1005
1010,38,1006
1011,38,1007
1012,38,1008
1013,38,1009
1014,38,1010
1015,38,1011
1016,38,1012
1017,38,1013
1018,38,1014
1019,38,1015
1020,38,1016
1021,38,1017
1022,38,1018
1023,38,1019
1024,38,1020
1025,38,1021
1026,38,1022
1027,38,1023
1028,38,1024
1029,38,1025
1030,38,1026
1031,38,1027
1032,38,1028
1033,38,1029
1034,38,1030
1035,38,1031
1036,38,1032
1037,38,1033
1038,38,1034
1039,38,1035
1040,38,1036
1041,38,1037
1042,38,1038
1043,38,1039
1044,38,1040
1045,38,1041
1046,38,1042
1047,38,1043
1048,38,1044
1049,38,1045
1050,38,1046
1051,38,1047
1052,38,1048
1053,38,1049
1054,38,1050
1055,38,1051
1056,38,1052
1057,38,1053
1058,38,1054
1059,38,1055
1060,38,1056
1061,38,1057
1062,38,1058
1063,38,1059
1064,38,1060
1065,38,1061
1066,38,1062
1067,38,1063
1068,38,1064
1069,38,1065
1070,38,1066
1071,38,1067
1072,38,1068
1073,38,1069
1074,38,1070
1075,38,1071
1076,38,1072
1077,38,1073
1078,38,1074
1079,38,1075
1080,38,1076
1081,38,1077
1082,38,1078
1083,38,1079
1084,38,1080
1085,38,1081
1086,38,1082
1087,38,1083
1088,38,1084
1089,38,1085
1090,38,1086
1091,38,1087
1092,38,1088
1093,38,1089
1094,38,1090
1095,38,1091
1096,38,1092
1097,38,1093
1098,38,1094
1099,38,1095
1100,38,1096
1101,38,1097
1102,38,1098
1103,38,1099
1104,38,1100
1105,38,1101
1106,38,1102
1107,38,1103
1108,38,1104
1109,38,1105
1110,38,1106
1111,38,1107
1112,38,1108
1113,38,1109
1114,38,1110
1115,38,1111
1116,38,1112
1117,38,1113
1119,38,1114
1120,38,1115
1131,38,1124
1123,38,1116
1124,38,1117
1125,38,1118
1126,38,1119
1127,38,1120
1128,38,1121
1129,38,1122
1130,38,1123
1132,38,1125
1133,38,1126
1136,38,1128
1135,38,1127
35967,95,36101
1140,38,1130
1139,38,1129
1141,38,1131
1142,38,1132
1143,38,1133
1144,38,1134
1145,38,1135
1146,38,1136
1147,38,1137
1148,38,723
1158,38,1139
1159,38,1140
1160,38,1141
1161,38,1142
1162,38,1143
1163,38,1144
1164,38,1145
1165,38,1146
1166,38,1147
1167,38,1148
1168,38,1149
1169,38,1150
1170,38,1151
1171,38,1152
1172,38,1153
1173,38,1154
1174,38,1155
1175,38,1156
1176,38,1157
1177,38,1158
1178,38,1159
1179,38,1160
1180,38,1161
1181,38,1162
1182,38,1163
1183,38,1164
1184,38,1165
1185,38,1166
1186,38,1167
1187,38,1168
1188,38,1169
1189,38,1170
1190,38,1171
1191,38,1172
1192,38,1173
1197,38,1177
1198,38,1178
1199,38,1179
1200,38,1180
1201,38,1181
1202,38,1182
1203,38,1183
1204,38,1184
1205,38,1185
1206,38,1186
1207,38,1187
1208,39,1188
1209,39,1189
1210,39,1190
1211,39,1191
1212,39,1192
1213,39,1193
1214,39,1194
1215,39,1195
1216,39,1196
1217,39,1197
1218,39,1198
1219,39,1199
1220,39,1200
1221,39,1201
1222,39,1202
1223,39,1203
1224,39,1204
1225,39,1205
1226,39,1206
1227,39,1207
1228,39,1208
1229,39,1209
1230,39,1210
1231,39,1211
1232,39,1212
1233,39,1213
1234,39,1214
1235,39,1215
1236,39,1216
1237,39,1217
1238,39,1218
1239,39,1219
1240,39,1220
1241,39,1221
1242,39,1222
1243,39,1223
1244,39,1224
1245,39,1225
1246,39,1226
1247,39,1227
1248,39,1228
1249,39,1229
1250,39,1230
1251,39,1231
1252,39,1232
1253,39,1233
1254,39,1234
1255,39,1235
1256,39,1236
1257,39,1237
1258,39,1238
1259,39,1239
1260,39,1240
1261,39,1241
1262,39,1242
1263,39,1243
1264,39,1244
1265,39,1245
1266,39,1246
1267,39,1247
1268,39,1248
1269,39,1249
1270,39,1250
1271,39,1251
1272,39,1252
1273,39,1253
1274,39,1254
1275,39,1255
1276,39,1256
1277,39,1258
1278,39,1257
1279,39,1259
1280,39,1260
1281,39,1261
1282,39,1262
1283,39,1263
1284,39,1264
1285,39,1265
1286,39,1266
1287,39,1267
1288,39,1268
1289,39,1269
1290,39,1270
1291,39,1271
1292,39,1272
1293,39,1273
1294,39,1274
1295,39,1275
1296,39,1276
1297,39,1277
1298,39,1278
1299,39,1279
1300,39,1280
1301,39,1281
1302,39,1282
1303,39,1283
1304,39,1284
1305,39,1285
1306,39,1286
1307,39,1287
1308,39,1288
1309,39,1289
1310,39,1290
1311,39,1291
1312,39,1292
1313,39,1293
1314,39,1294
1315,39,1295
1316,39,1296
1317,39,1297
1318,39,1298
1319,39,1299
1320,39,1300
1321,39,1301
1322,39,1302
1323,39,1303
1324,39,1304
1325,39,1305
1326,39,1306
1327,39,1307
