"wcID","workID","poetID","role","date"
83,53,398,"序作者","1891"
228,61,245,"作者",""
17,53,149,"主要作者",""
36,63,306,"编輯",""
82,53,396,"序作者","1891"
19,53,397,"序作者","1891"
20,38,274,"编輯",""
612,41,140,"主要作者",""
22,15,11,"主要作者",""
23,15,351,"序作者","1870"
24,15,352,"序作者","1870"
25,15,353,"序作者","1867"
26,15,360,"題辭","1869"
27,15,361,"跋作者","1869"
28,15,362,"跋作者","1870"
29,15,363,"跋作者","1870"
30,15,359,"跋作者","1864"
31,26,277,"编輯",""
32,26,278,"序作者","1908"
38,17,474,"编輯",""
39,17,475,"编輯",""
40,17,474,"序作者","1716"
41,47,236,"主要作者",""
42,47,338,"序作者","1830"
43,51,202,"主要作者",""
44,45,245,"主要作者",""
45,45,333,"跋作者","1847"
46,57,207,"主要作者",""
47,57,416,"序作者","1854"
48,57,417,"序作者","1854"
49,57,418,"序作者","1854"
50,57,419,"序作者","1854"
51,57,420,"序作者","1854"
52,57,421,"序作者","1854"
53,57,199,"序作者","1855"
54,57,190,"序作者","1854"
56,58,430,"序作者","1911"
57,25,285,"编輯",""
58,25,284,"编輯",""
59,29,286,"编輯",""
60,37,288,"编輯",""
63,38,92,"序作者","1829"
62,38,274,"序作者","1829"
64,38,297,"序作者","1831"
65,38,298,"跋作者",""
66,38,299,"跋作者","1831"
67,39,274,"编輯",""
68,39,300,"序作者","1836"
69,39,92,"序作者","1835"
70,39,302,"跋作者","1836"
71,52,148,"主要作者",""
72,52,391,"序作者","1827"
73,52,392,"序作者","1827"
74,52,393,"跋作者","1827"
75,34,39,"主要作者",""
810,34,263,"跋作者",""
77,35,263,"编輯",""
78,35,264,"序作者","1796"
610,57,3799,"題辭",""
84,53,399,"序作者","1889"
618,61,162,"作者",""
86,28,285,"编輯",""
87,43,254,"主要作者",""
88,43,325,"跋作者","1875"
89,43,326,"跋作者","1875"
90,12,238,"主要作者",""
91,12,408,"序作者","1866"
92,12,409,"序作者","1871"
93,12,410,"序作者","1875"
94,12,411,"序作者","1875"
95,12,412,"序作者","1888"
96,12,413,"跋作者",""
97,22,29,"主要作者",""
98,22,30,"主要作者",""
99,24,275,"主要作者",""
100,24,276,"序作者","1849"
101,23,175,"作者",""
102,23,32,"作者",""
103,23,176,"作者",""
104,23,273,"序作者","1880"
105,23,272,"序作者","1864"
800,113,4784,"序作者",""
107,33,38,"主要作者",""
108,33,263,"序作者",""
109,33,479,"序作者",""
110,16,12,"主要作者",""
111,16,365,"序作者","1843"
112,16,366,"序作者","1860"
113,16,12,"序作者","1852"
114,16,382,"跋作者","1875"
115,18,480,"编輯",""
116,18,481,"序作者","1772"
117,18,482,"序作者","1772"
118,18,480,"序作者","1772"
119,18,483,"序作者","1772"
120,18,484,"跋作者",""
121,18,485,"跋作者",""
122,19,268,"编輯",""
123,19,271,"序作者","1628"
124,19,270,"序作者","1628"
522,48,305,"序作者","1873"
126,49,305,"序作者","1873"
127,49,342,"跋作者","1882"
336,37,294,"校閲",""
130,30,274,"编輯",""
131,30,274,"序作者","1831"
132,54,150,"主要作者",""
133,54,403,"序作者","1886"
134,54,404,"序作者","1886"
135,54,405,"序作者","1886"
309,37,75,"作者",""
328,61,201,"作者",""
325,61,200,"作者",""
139,55,407,"序作者","1887"
326,61,197,"作者",""
141,50,146,"主要作者",""
142,50,343,"序作者","1848"
143,50,344,"序作者","1848"
144,50,345,"序作者","1848"
145,50,346,"序作者","1848"
146,50,347,"跋作者",""
147,50,348,"跋作者","1848"
148,50,349,"跋作者","1848"
149,9,5,"主要作者",""
150,9,486,"序作者","1810"
642,80,4573,"主要作者",""
153,59,154,"主要作者",""
154,59,279,"序作者","1892"
155,59,442,"序作者","1898"
157,59,445,"序作者","1898"
158,59,446,"序作者","1898"
550,47,3553,"題辭","1830"
161,59,444,"序作者","1903"
162,59,443,"序作者","1900"
163,59,449,"跋作者","1898"
164,59,450,"跋作者","1915"
165,46,210,"主要作者",""
166,46,334,"序作者","1855"
167,46,335,"序作者","1858"
168,46,336,"序作者","1858"
169,46,337,"序作者","1867"
415,37,42,"作者",""
175,40,140,"主要作者",""
176,40,308,"年譜作者","1874"
177,13,8,"主要作者",""
178,13,487,"序作者","1764"
179,32,37,"主要作者",""
180,32,263,"序作者",""
181,40,313,"序作者","1854"
182,40,314,"序作者","1852"
183,40,310,"序作者","1874"
184,40,311,"跋作者","1854"
543,16,239,"題辭",""
542,9,1968,"序作者","1840"
537,14,331,"序作者",""
474,37,537,"作者",""
471,16,370,"題辭",""
407,61,177,"作者",""
193,10,147,"主要作者",""
194,10,385,"序作者",""
195,10,147,"序作者",""
196,61,306,"编輯","1895-1896"
197,61,454,"序作者","1905"
198,61,455,"序作者","1904"
199,61,456,"序作者","1905"
488,37,797,"作者",""
201,21,491,"序作者","1788"
202,21,490,"序作者","1790"
203,21,28,"编輯","1789"
205,36,492,"序作者","1894"
206,41,304,"主要作者",""
207,41,304,"序作者","1851"
208,41,308,"序作者","1874"
209,41,318,"跋作者","1851"
210,66,106,"主要作者",""
211,66,263,"序作者","1794"
212,66,472,"序作者","1794"
213,66,493,"序作者","1794"
214,11,6,"主要作者",""
215,11,400,"序作者","1890"
216,11,401,"序作者","1880"
217,11,6,"序作者","1880"
218,31,305,"主要作者",""
219,31,265,"序作者","1874"
220,31,266,"跋作者","1874"
221,20,469,"序作者","1807"
222,20,16,"序作者",""
231,37,88,"作者",""
232,37,61,"作者",""
233,61,233,"作者",""
234,37,76,"作者",""
235,61,254,"作者",""
236,37,78,"作者",""
504,20,13,"作者",""
239,37,136,"作者",""
240,37,132,"作者",""
241,16,381,"題辭",""
505,20,14,"作者",""
243,50,350,"題辭","1848"
244,52,394,"題辭","1827"
245,37,292,"校閲",""
246,61,195,"作者",""
247,37,46,"作者",""
248,61,205,"作者",""
249,61,218,"作者",""
250,15,354,"題辭",""
251,15,355,"題辭",""
252,47,339,"墓志詺作者",""
253,61,229,"作者",""
564,67,429,"主要作者",""
255,52,395,"題辭","1827"
466,37,137,"作者",""
257,37,72,"作者",""
258,61,214,"作者",""
479,37,573,"作者",""
261,15,356,"題辭",""
263,37,129,"作者",""
264,37,289,"傳記作者",""
265,37,135,"作者",""
266,37,80,"作者",""
267,61,216,"作者",""
268,37,124,"作者",""
269,61,231,"作者",""
270,37,170,"作者",""
271,61,170,"作者",""
272,37,96,"作者",""
273,61,158,"作者",""
274,22,440,"題辭","1915"
275,37,43,"作者",""
276,16,377,"題辭",""
277,37,133,"作者",""
278,61,178,"作者",""
279,61,190,"作者",""
280,61,167,"作者",""
